run,stim,delay,movie_stim
4,hiphop.wav,8,movie005.mkv
4,psychedelic.wav,8,
4,reggae.wav,8,
4,rnb.wav,6,
4,psychedelic.wav,6,
4,soul.wav,4,
4,funk.wav,6,
4,deephouse.wav,8,
4,hiphop.wav,8,
4,trance.wav,6,
4,heavymetal.wav,4,
4,renaissance.wav,8,
4,modernclassic.wav,8,
4,rnb.wav,6,
4,modernclassic.wav,8,
4,renaissance.wav,8,
4,classic.wav,4,
4,alternative.wav,4,
4,drumandbass.wav,6,
4,techno.wav,4,
4,techno.wav,8,
4,dubstep.wav,4,
4,deephouse.wav,6,
4,classic.wav,4,
4,trance.wav,6,
4,romantic.wav,4,
4,reggae.wav,6,
4,punk.wav,8,
4,drumandbass.wav,6,
4,dubstep.wav,8,
4,heavymetal.wav,4,
4,rocknroll.wav,4,
4,romantic.wav,4,
4,soul.wav,4,
4,funk.wav,6,
4,alternative.wav,8,
4,baroque.wav,6,
4,rocknroll.wav,6,
4,punk.wav,4,
4,baroque.wav,0,
